ALERT: Anomalous traffic detected | Source IP: 192.168.3.131, Time Window: 1295981540-1295981550 sec, Packet Count: 163
ALERT: Anomalous traffic detected | Source IP: 192.168.3.131, Time Window: 1295981560-1295981570 sec, Packet Count: 310
ALERT: Anomalous traffic detected | Source IP: 72.14.213.102, Time Window: 1295981560-1295981570 sec, Packet Count: 152
ALERT: Anomalous traffic detected | Source IP: 65.54.95.140, Time Window: 1295981560-1295981570 sec, Packet Count: 117
ALERT: Anomalous traffic detected | Source IP: 192.168.3.131, Time Window: 1295981570-1295981580 sec, Packet Count: 427
ALERT: Anomalous traffic detected | Source IP: 65.54.95.75, Time Window: 1295981570-1295981580 sec, Packet Count: 230
ALERT: Anomalous traffic detected | Source IP: 65.54.95.68, Time Window: 1295981570-1295981580 sec, Packet Count: 173
ALERT: Anomalous traffic detected | Source IP: 192.168.3.131, Time Window: 1295981580-1295981590 sec, Packet Count: 103
ALERT: Anomalous traffic detected | Source IP: 192.168.3.131, Time Window: 1295981590-1295981600 sec, Packet Count: 301
ALERT: Anomalous traffic detected | Source IP: 65.54.95.68, Time Window: 1295981590-1295981600 sec, Packet Count: 160
ALERT: Anomalous traffic detected | Source IP: 65.54.95.75, Time Window: 1295981590-1295981600 sec, Packet Count: 109
ALERT: Anomalous traffic detected | Source IP: 192.168.3.131, Time Window: 1295981600-1295981610 sec, Packet Count: 200
ALERT: Anomalous traffic detected | Source IP: 65.54.95.68, Time Window: 1295981600-1295981610 sec, Packet Count: 128
ALERT: Anomalous traffic detected | Source IP: 172.16.255.1, Time Window: 1295981640-1295981650 sec, Packet Count: 101
ALERT: Anomalous traffic detected | Source IP: 172.16.255.1, Time Window: 1295981650-1295981660 sec, Packet Count: 544
ALERT: Anomalous traffic detected | Source IP: 130.117.72.100, Time Window: 1295981650-1295981660 sec, Packet Count: 353
ALERT: Anomalous traffic detected | Source IP: 10.0.2.15, Time Window: 1295981650-1295981660 sec, Packet Count: 122
ALERT: Anomalous traffic detected | Source IP: 184.85.226.161, Time Window: 1295981650-1295981660 sec, Packet Count: 187
ALERT: Anomalous traffic detected | Source IP: 10.0.2.15, Time Window: 1295981660-1295981670 sec, Packet Count: 103
ALERT: Anomalous traffic detected | Source IP: 172.16.255.1, Time Window: 1295981660-1295981670 sec, Packet Count: 181
ALERT: Anomalous traffic detected | Source IP: 192.168.3.131, Time Window: 1295981670-1295981680 sec, Packet Count: 201
ALERT: Anomalous traffic detected | Source IP: 65.54.95.68, Time Window: 1295981670-1295981680 sec, Packet Count: 122
ALERT: Anomalous traffic detected | Source IP: 192.168.3.131, Time Window: 1295981680-1295981690 sec, Packet Count: 164
ALERT: Anomalous traffic detected | Source IP: 65.54.95.68, Time Window: 1295981680-1295981690 sec, Packet Count: 128
ALERT: Anomalous traffic detected | Source IP: 192.168.3.131, Time Window: 1295981700-1295981710 sec, Packet Count: 287
ALERT: Anomalous traffic detected | Source IP: 65.54.95.140, Time Window: 1295981700-1295981710 sec, Packet Count: 223
ALERT: Anomalous traffic detected | Source IP: 192.168.3.131, Time Window: 1295981710-1295981720 sec, Packet Count: 283
ALERT: Anomalous traffic detected | Source IP: 65.54.95.75, Time Window: 1295981710-1295981720 sec, Packet Count: 211
ALERT: Anomalous traffic detected | Source IP: 65.54.95.68, Time Window: 1295981710-1295981720 sec, Packet Count: 258
ALERT: Anomalous traffic detected | Source IP: 192.168.3.131, Time Window: 1295981730-1295981740 sec, Packet Count: 279
ALERT: Anomalous traffic detected | Source IP: 65.54.95.68, Time Window: 1295981730-1295981740 sec, Packet Count: 164
ALERT: Anomalous traffic detected | Source IP: 65.54.95.140, Time Window: 1295981730-1295981740 sec, Packet Count: 101
ALERT: Anomalous traffic detected | Source IP: 10.0.2.15, Time Window: 1295981760-1295981770 sec, Packet Count: 122
ALERT: Anomalous traffic detected | Source IP: 10.0.2.15, Time Window: 1295981770-1295981780 sec, Packet Count: 103
ALERT: Anomalous traffic detected | Source IP: 192.168.3.131, Time Window: 1295981770-1295981780 sec, Packet Count: 101
ALERT: Anomalous traffic detected | Source IP: 192.168.3.131, Time Window: 1295981780-1295981790 sec, Packet Count: 259
ALERT: Anomalous traffic detected | Source IP: 209.17.73.30, Time Window: 1295981780-1295981790 sec, Packet Count: 282
ALERT: Anomalous traffic detected | Source IP: 204.14.234.85, Time Window: 1295981790-1295981800 sec, Packet Count: 304
ALERT: Anomalous traffic detected | Source IP: 192.168.3.131, Time Window: 1295981790-1295981800 sec, Packet Count: 222
ALERT: Anomalous traffic detected | Source IP: 204.14.234.85, Time Window: 1295981810-1295981820 sec, Packet Count: 102
ALERT: Anomalous traffic detected | Source IP: 204.14.234.85, Time Window: 1295981820-1295981830 sec, Packet Count: 104
ALERT: Anomalous traffic detected | Source IP: 192.168.3.131, Time Window: 1295981830-1295981840 sec, Packet Count: 222
ALERT: Anomalous traffic detected | Source IP: 204.14.234.85, Time Window: 1295981830-1295981840 sec, Packet Count: 252
